Дата запуска,Блюдо,Количество повторных продаж,Стоимость по меню,Фактическая цена реализации за ед,Продано количество,Подарено по акции,Количество продаж с уценкой,Кол-во товаров проданных по спец цене ПЛ,Кол-во товаров проданных за живчики,Кол-во списаний,закупка
16.02.2022, Печень цыпленка тушеная в сметане с лесными грибами с картофельным пюре,5.0,272,0,0.0,0,0,0,0,3.0,3.0
06.09.2023, Печень цыпленка тушеная в сметане с лесными грибами с картофельным пюре. Коферадости ,5.0,266,244,12.0,0,0,0,0,1.0,13.0
01.01.1970, Сироп фисташка  БАР ,0.0,0,0,0.0,0,0,0,0,0.02,0.0
26.04.2024,Bubble Tea Малина Земляника,10.0,369,265,23.0,0,4,0,0,3.0,30.0
26.04.2024,Bubble Tea Маракуйя Ананас,10.0,346,278,22.0,0,1,0,0,4.0,27.0
26.04.2024,Bubble Tea Персик,7.0,332,277,13.0,0,1,0,0,9.0,23.0
13.07.2022,Chicken Ball в сливочно грибном соусе с птитимом,5.0,285,0,0.0,0,0,0,0,8.0,8.0
27.01.2025,Chicken Ball в сливочно грибном соусе с птитимом. Шабалда Р.Н. ИП,5.0,272,242,9.0,0,0,0,0,1.0,10.0
08.01.2024,"Cold Brew Coffee Лимонный фреш 0,33л",0.0,195,195,3.0,0,0,0,0,0.0,3.0
09.10.2024,"Cold coffee Капучино 0,245 л",7.0,298,199,12.0,0,0,0,0,0.0,12.0
30.09.2024,"Cold coffee Раф лаванда 0,245 л",0.0,199,199,2.0,0,0,0,0,0.0,2.0
15.04.2022,"FruitStiсksскурагойиминдалем,коробка175г",0.0,308,320,2.0,0,0,0,0,1.0,3.0
14.04.2022,"Shoco Rolls конфеты с арахисом, солью и медом, 135г",2.0,354,292,6.0,0,0,0,0,0.0,6.0
15.03.2024,UFO Бургер с курицей и мексиканским соусом,5.0,249,0,0.0,0,0,0,0,7.0,7.0
16.09.2024,UFO Бургер с курицей и мексиканским соусом. ИП Курмачев Михаил Иванович,5.0,240,238,10.0,0,1,0,0,0.0,11.0
15.03.2024,UFO Бургер с мраморной говядиной и авторским соусом,7.0,250,0,0.0,0,0,0,0,9.0,9.0
